Timestamp,Ax,Ay,Az,Gx,Gy,Gz
14:49:21.373791,0.52,1.61,1.61,25.52,148.08,-79.51
14:49:21.475746,0.40,1.56,1.56,-4.24,160.12,-90.30
14:49:21.582615,0.24,1.58,1.58,-14.94,41.86,-51.52
14:49:21.685028,0.28,1.60,1.60,-40.12,-44.36,64.51
14:49:21.791902,0.46,1.63,1.63,-116.86,-14.21,100.49
14:49:21.893480,0.42,1.66,1.66,-176.10,7.20,97.16
14:49:22.000633,0.01,1.70,1.70,-230.30,-90.70,239.51
14:49:22.102550,1.00,1.49,1.49,-82.07,47.41,187.84
14:49:22.205181,0.74,1.23,1.23,53.75,255.03,101.65
14:49:22.311472,0.62,1.11,1.11,144.94,54.85,-144.97
14:49:22.418503,0.38,1.17,1.17,42.01,151.77,-439.82
14:49:22.521356,0.44,1.47,1.47,17.10,97.16,-331.62
14:49:22.627888,-0.91,4.00,4.00,475.03,-282.44,-289.94
14:49:22.730178,0.75,2.55,2.55,-77.62,-146.71,-105.06
14:49:22.832270,1.02,1.76,1.76,27.99,-46.01,61.43
14:49:22.934842,0.72,1.54,1.54,23.38,33.20,-110.82
14:49:23.041004,0.57,1.56,1.56,26.19,100.76,-179.85
14:49:23.147546,0.28,1.48,1.48,16.65,138.93,-121.13
14:49:23.249763,0.06,1.60,1.60,-55.18,85.03,58.45
14:49:23.352085,0.50,1.63,1.63,-82.10,15.06,125.76
14:49:23.454404,0.41,1.62,1.62,-99.57,49.82,94.73
14:49:23.561596,0.30,1.71,1.71,-174.30,-5.91,158.14
14:49:23.668032,0.23,1.71,1.71,-108.02,-26.65,331.71
14:49:23.770440,1.12,1.35,1.35,-20.67,615.40,253.93
14:49:23.873421,0.54,1.09,1.09,105.15,286.37,16.19
14:49:23.978951,0.65,1.19,1.19,87.04,183.26,-219.63
14:49:24.082015,0.42,1.43,1.43,69.60,220.67,-411.55
14:49:24.188558,0.58,1.47,1.47,52.62,434.18,-64.33
14:49:24.291369,-0.18,1.20,1.20,58.54,181.10,232.35
14:49:24.396880,1.37,1.87,1.87,530.40,275.98,242.01
14:49:24.499218,1.00,1.73,1.73,277.96,-142.65,192.99
14:49:24.602467,0.87,1.60,1.60,79.66,59.27,90.03
14:49:24.707912,0.81,1.58,1.58,18.69,174.70,-48.41
14:49:24.810677,0.60,1.66,1.66,38.81,91.31,-143.17
14:49:24.917570,0.38,1.53,1.53,12.35,78.66,-140.03
14:49:25.019872,0.13,1.47,1.47,-18.84,144.57,-83.57
14:49:25.122083,0.16,1.60,1.60,-66.95,181.80,44.45
14:49:25.228325,0.32,1.60,1.60,-124.33,145.15,118.99
14:49:25.334561,0.29,1.73,1.73,-195.06,55.15,197.04
14:49:25.437688,0.62,1.60,1.60,-57.47,320.09,311.98
14:49:25.539807,0.47,1.28,1.28,3.20,630.03,110.34
14:49:25.642352,0.56,1.31,1.31,4.79,130.58,-64.24
14:49:25.749363,0.50,1.38,1.38,24.70,174.79,-114.82
14:49:25.855274,0.35,1.45,1.45,33.69,227.44,-130.46
14:49:25.957287,0.20,1.48,1.48,23.75,290.46,-59.79
14:49:26.059829,0.09,1.39,1.39,56.34,196.71,56.52
14:49:26.166569,-1.28,2.32,2.32,141.77,-74.02,12.71
14:49:26.269048,0.74,2.44,2.44,96.71,206.37,-41.71
14:49:26.378360,0.89,1.63,1.63,79.60,-116.34,77.77
14:49:26.477588,0.84,1.90,1.90,-3.35,-87.32,-25.88
14:49:26.584063,0.74,1.59,1.59,-26.13,28.08,-127.35
14:49:26.686528,0.60,1.57,1.57,13.23,123.26,-137.44
14:49:26.792477,0.41,1.69,1.69,-21.16,172.74,-163.66
14:49:26.895758,-0.09,1.53,1.53,-99.51,101.04,56.22
14:49:26.998185,0.43,1.65,1.65,-130.24,62.53,169.76
14:49:27.104260,0.47,1.68,1.68,-180.73,37.74,138.75
14:49:27.211012,0.41,1.64,1.64,-180.85,105.98,360.52
14:49:27.313479,0.84,1.36,1.36,-64.73,489.82,240.70
14:49:27.415881,0.58,1.14,1.14,101.31,137.01,10.55
14:49:27.518322,0.60,1.22,1.22,76.92,86.62,-213.05
14:49:27.624584,0.46,1.36,1.36,74.63,144.51,-350.46
14:49:27.727097,0.21,1.44,1.44,89.33,116.40,-231.49
14:49:27.833844,0.50,1.12,1.12,66.31,166.13,188.26
14:49:27.939451,2.10,-1.06,-1.06,54.63,-743.54,810.95
14:49:28.042593,0.91,1.61,1.61,170.58,-34.94,351.22
14:49:28.145049,0.69,1.60,1.60,-60.06,161.13,6.98
14:49:28.247924,0.58,1.64,1.64,11.13,18.54,-68.99
14:49:28.353944,0.62,1.59,1.59,-7.07,54.33,-74.18
14:49:28.455500,0.47,1.64,1.64,-44.02,9.12,-101.13
14:49:28.563267,0.28,1.58,1.58,-97.26,49.39,-82.41
14:49:28.665315,-0.01,1.54,1.54,-235.12,4.39,118.87
14:49:28.771800,0.14,1.82,1.82,-103.32,-131.62,215.85
14:49:28.873870,1.02,1.56,1.56,-118.93,282.99,138.14
14:49:28.976605,0.43,1.24,1.24,-71.01,166.19,1.80
14:49:29.082800,0.62,1.11,1.11,55.12,-90.03,-148.84
14:49:29.185165,0.58,1.21,1.21,143.84,33.48,-255.40
14:49:29.291701,0.39,1.40,1.40,165.18,118.93,-274.36
14:49:29.397760,0.19,1.46,1.46,208.63,130.00,-116.01
14:49:29.496830,0.35,1.34,1.34,65.49,-2.56,66.80
14:49:29.607491,-0.47,1.84,1.84,-383.51,-311.74,388.63
14:49:29.709786,0.57,1.53,1.53,156.74,-109.66,284.45
14:49:29.811597,0.65,1.82,1.82,-14.85,5.00,104.15
14:49:29.915167,0.80,1.70,1.70,-35.43,-44.88,13.54
14:49:30.020176,0.76,1.61,1.61,-46.59,62.20,-88.84
14:49:30.127625,0.47,1.58,1.58,-106.59,79.42,-127.99
14:49:30.229937,0.37,1.44,1.44,-159.12,58.57,-3.29
14:49:30.335684,-0.04,1.52,1.52,-309.97,-138.69,89.88
14:49:30.434984,0.52,1.68,1.68,47.35,-6.52,151.19
14:49:30.541582,0.48,1.34,1.34,27.65,298.96,169.76
14:49:30.643700,0.46,1.25,1.25,74.18,-32.35,-87.10
14:49:30.749678,0.61,1.22,1.22,116.01,31.46,-303.69
14:49:30.852501,0.43,1.38,1.38,186.95,57.90,-428.60
14:49:30.956125,0.32,1.53,1.53,55.09,55.27,-166.71
14:49:31.058280,0.47,1.23,1.23,97.90,73.45,78.32
14:49:31.169700,-0.62,1.41,1.41,-381.43,-159.88,717.10
